seed,model,n_params,bootstrap,variance_source,n_iter,pr_auc,roc_auc,baseline_pr_auc,pr_auc_headroom,far_fixed,recall_fixed,precision_fixed,f1_fixed,threshold_used,far_overshoot,far_drift_vs_selection,far_05,recall_05,recall_at_far_oracle,rmse,mae,r2,bias,cyc_bias_std_across_cycles,cyc_bias_range,n_positive,n_negative,recall_at_far2p5,recall_at_far5,recall_at_far7p5,recall_at_far10,recall_at_far12p5,recall_at_far15,recall_at_far17p5,recall_at_far20,max_iter_cls,max_iter_reg
99,LogReg/Ridge,6,True,train_bootstrap,20.0,0.7276901287575644,0.8844933210666326,0.2756563245823389,0.6240598482682685,18.616144975288304,77.05627705627705,61.16838487972509,68.19923371647509,0.48580005469809745,3.6161449752883037,9.616144975288304,16.968698517298186,75.75757575757575,70.995670995671,2.8817591948011874,2.405962741063166,0.40112525658708875,-0.03944711148996722,2.245695519231364,4.299759424956617,231,607,29.004329004329005,31.601731601731604,36.36363636363637,51.515151515151516,61.471861471861466,70.995670995671,76.19047619047619,78.78787878787878,,
99,GradientBoosting,6,True,train_bootstrap,,0.6705541082772392,0.8674768394702497,0.2756563245823389,0.5451801363036679,11.86161449752883,60.17316017316017,65.87677725118483,62.89592760180995,0.42008888547973794,-3.13838550247117,2.86161449752883,9.884678747940692,54.97835497835498,64.93506493506493,2.9079458420814444,2.485958661793558,0.39019181321502694,0.2264588869089124,2.597837110587326,4.538568392563755,231,607,19.913419913419915,28.13852813852814,40.25974025974026,55.84415584415584,61.904761904761905,64.93506493506493,67.53246753246754,72.2943722943723,50.0,50.0
101,LogReg/Ridge,6,True,train_bootstrap,14.0,0.7287300159972361,0.8847072751520857,0.2756563245823389,0.6254954751329223,19.110378912685338,77.05627705627705,60.54421768707483,67.80952380952381,0.4804389948557494,4.110378912685338,10.110378912685338,16.803953871499175,74.45887445887446,70.12987012987013,2.8809830827482723,2.3825279750921036,0.4014477896554376,-0.13526769673239014,2.2524842592358674,4.312158841820118,231,607,29.43722943722944,31.601731601731604,34.63203463203463,51.515151515151516,64.5021645021645,70.12987012987013,76.62337662337663,79.22077922077922,,
101,GradientBoosting,6,True,train_bootstrap,,0.6753630612156877,0.8682042833607907,0.2756563245823389,0.5518191850061718,15.815485996705107,65.36796536796537,61.1336032388664,63.17991631799163,0.43610752372001177,0.8154859967051067,6.815485996705107,14.00329489291598,59.307359307359306,62.77056277056276,2.9015281664151065,2.4707629788503604,0.39288046897291207,0.12099333000597516,2.603420789469995,4.520383331147506,231,607,24.675324675324674,37.66233766233766,45.45454545454545,50.21645021645021,55.41125541125541,62.77056277056276,71.86147186147186,74.02597402597402,50.0,50.0
202,LogReg/Ridge,6,True,train_bootstrap,12.0,0.7185615851545641,0.875678412745958,0.2756563245823389,0.6114573449086075,19.43986820428336,74.02597402597402,59.16955017301038,65.76923076923076,0.5088524925830931,4.439868204283361,10.43986820428336,20.263591433278417,74.45887445887446,65.80086580086581,2.872683859976678,2.368489073060609,0.4048913108762038,-0.16659490131102545,2.2373596054195626,4.287498311153415,231,607,29.87012987012987,33.33333333333333,37.22943722943723,48.484848484848484,60.17316017316018,65.80086580086581,71.86147186147186,74.02597402597402,,
202,GradientBoosting,6,True,train_bootstrap,,0.6873547955675046,0.8764557792564382,0.2756563245823389,0.5683744953633754,12.8500823723229,62.77056277056277,65.02242152466367,63.87665198237885,0.42733774699013677,-2.1499176276771,3.8500823723229,10.873146622734762,57.142857142857146,66.66666666666666,2.8401578142782817,2.400130696971431,0.41829128867282606,0.04301987934491759,2.479477272984744,4.297316803948813,231,607,19.913419913419915,34.63203463203463,45.887445887445885,53.67965367965368,61.471861471861466,66.66666666666666,69.26406926406926,72.2943722943723,100.0,50.0
303,LogReg/Ridge,6,True,train_bootstrap,15.0,0.7276733761974266,0.8830027742713081,0.2756563245823389,0.6240367203516367,18.28665568369028,76.19047619047619,61.32404181184669,67.95366795366796,0.4857275884795499,3.286655683690281,9.286655683690281,16.968698517298186,73.5930735930736,69.26406926406926,2.8716747309305046,2.4019309009112737,0.4053093422452413,-0.03249430685698675,2.2562733412412337,4.322723618636781,231,607,29.43722943722944,32.03463203463203,35.4978354978355,51.082251082251084,63.20346320346321,69.26406926406926,75.32467532467533,77.48917748917748,,
303,GradientBoosting,6,True,train_bootstrap,,0.7017031400265435,0.8737599577797271,0.2756563245823389,0.5881832476807966,13.673805601317957,60.60606060606061,62.780269058295964,61.674008810572694,0.4497854741494038,-1.326194398682043,4.673805601317957,12.8500823723229,56.70995670995671,65.80086580086581,3.022197492618875,2.548164676846599,0.3413323944612794,0.2080821026083494,2.569826174828183,4.555000682983884,231,607,24.675324675324674,33.76623376623377,38.961038961038966,50.21645021645021,56.709956709956714,65.80086580086581,70.995670995671,71.86147186147186,50.0,50.0
404,LogReg/Ridge,6,True,train_bootstrap,12.0,0.7274946102589355,0.8827888201858548,0.2756563245823389,0.6237899232240328,19.110378912685338,76.62337662337663,60.40955631399317,67.55725190839695,0.5002745033686,4.110378912685338,10.110378912685338,19.27512355848435,76.62337662337663,68.83116883116884,2.8927375468410372,2.425525134664073,0.39655361771908704,-0.08253379151788028,2.302727692522979,4.406331773932199,231,607,29.43722943722944,32.03463203463203,35.4978354978355,51.082251082251084,61.471861471861466,68.83116883116884,75.32467532467533,77.05627705627705,,
404,GradientBoosting,6,True,train_bootstrap,,0.719913854598942,0.8776111313178858,0.2756563245823389,0.613324234190961,11.367380560131796,60.60606060606061,66.98564593301435,63.63636363636364,0.505772703966975,-3.632619439868204,2.367380560131796,11.532125205930807,60.60606060606061,67.53246753246754,2.959129535180408,2.5235635155230107,0.3685360293028348,0.07369270875320569,2.6278473147348747,4.6563194101527365,231,607,32.467532467532465,38.961038961038966,48.05194805194805,54.54545454545454,62.33766233766234,67.53246753246754,71.42857142857143,76.62337662337663,100.0,50.0
