setting,description,seed,n_seeds_total,masked,pr_auc,roc_auc,recall_fixed,precision_fixed,far_fixed,rmse,mae,r2
drop_crest_factor,crest_factor 제외,33,8,crest_factor,0.7449458934012185,0.8973733570109188,82.25108225108225,66.43356643356644,15.815485996705107,2.62848695129093,2.2602322101593018,0.5017672777175903
drop_crest_factor,crest_factor 제외,44,8,crest_factor,0.7373411790021132,0.8938930372208791,80.95238095238095,66.31205673758865,15.650741350906095,2.5916035974643923,2.2632572650909424,0.5156517028808594
drop_crest_factor,crest_factor 제외,55,8,crest_factor,0.7369244139272201,0.8949414122396,81.38528138528139,66.19718309859155,15.815485996705107,2.6038750345331643,2.2692270278930664,0.5110540390014648
drop_crest_factor,crest_factor 제외,66,8,crest_factor,0.7324294838611941,0.8941640457291198,82.25108225108225,65.7439446366782,16.30971993410214,2.6094027763304566,2.3029885292053223,0.5089758634567261
drop_crest_factor,crest_factor 제외,77,8,crest_factor,0.7356865061519458,0.8964961452605604,83.11688311688312,66.43598615916954,15.980230642504118,2.6230081539747205,2.2762527465820312,0.5038421154022217
drop_crest_factor,crest_factor 제외,88,8,crest_factor,0.7334122767806668,0.8927162897508861,81.38528138528139,65.73426573426573,16.14497528830313,2.6384313376324346,2.209576368331909,0.4979901909828186
drop_energy_trend_slope,energy_trend_slope 제외,11,8,energy_trend_slope,0.7439558379548992,0.895618933510202,80.51948051948052,65.49295774647888,16.14497528830313,2.604464358798646,2.251776933670044,0.510832667350769
drop_energy_trend_slope,energy_trend_slope 제외,22,8,energy_trend_slope,0.7381830355057116,0.8928446622021581,80.08658008658008,63.793103448275865,17.29818780889621,2.641994504912767,2.253974199295044,0.4966333508491516
drop_energy_trend_slope,energy_trend_slope 제외,33,8,energy_trend_slope,0.7385519585122782,0.8952195525506893,80.51948051948052,65.26315789473684,16.30971993410214,2.648495293720911,2.317436695098877,0.49415314197540283
drop_energy_trend_slope,energy_trend_slope 제외,44,8,energy_trend_slope,0.7421523236675385,0.8971594029254655,83.11688311688312,65.3061224489796,16.803953871499175,2.645246716045825,2.2334492206573486,0.4953933358192444
drop_energy_trend_slope,energy_trend_slope 제외,55,8,energy_trend_slope,0.7435822041599657,0.8955333518760208,80.95238095238095,65.15679442508711,16.474464579901152,2.625092550190223,2.2852420806884766,0.5030532479286194
drop_energy_trend_slope,energy_trend_slope 제외,66,8,energy_trend_slope,0.7497378942673927,0.8975159930678877,82.68398268398268,65.63573883161511,16.474464579901152,2.6150619757694997,2.2832159996032715,0.5068436861038208
drop_energy_trend_slope,energy_trend_slope 제외,77,8,energy_trend_slope,0.7448521776327606,0.8963321137950463,82.25108225108225,65.51724137931035,16.474464579901152,2.6139188937947946,2.2453904151916504,0.5072747468948364
drop_energy_trend_slope,energy_trend_slope 제외,88,8,energy_trend_slope,0.742766650421845,0.8934294700357303,80.51948051948052,64.80836236933798,16.639209225700164,2.6401941975057843,2.225113868713379,0.4973191022872925
drop_cumulative_energy,cumulative_energy 제외,11,8,cumulative_energy,0.6692118764588337,0.8577989830049139,59.74025974025974,63.30275229357798,13.179571663920923,2.754288537295918,2.2168009281158447,0.45293426513671875
