model,seed,target_far,recall
Cross-Timescale Attn,66,17.5,83.11688311688312
Cross-Timescale Attn,66,20.0,86.14718614718615
Cross-Timescale Attn,77,2.5,28.57142857142857
Cross-Timescale Attn,77,5.0,33.76623376623377
Cross-Timescale Attn,77,7.5,38.52813852813853
Cross-Timescale Attn,77,10.0,51.082251082251084
Cross-Timescale Attn,77,12.5,60.17316017316018
Cross-Timescale Attn,77,15.0,77.05627705627705
Cross-Timescale Attn,77,17.5,84.4155844155844
Cross-Timescale Attn,77,20.0,87.44588744588745
Cross-Timescale Attn,88,2.5,29.004329004329005
Cross-Timescale Attn,88,5.0,33.76623376623377
Cross-Timescale Attn,88,7.5,38.961038961038966
Cross-Timescale Attn,88,10.0,51.515151515151516
Cross-Timescale Attn,88,12.5,57.14285714285714
Cross-Timescale Attn,88,15.0,79.22077922077922
Cross-Timescale Attn,88,17.5,83.54978354978356
Cross-Timescale Attn,88,20.0,85.28138528138528
Cross-Timescale Attn,99,2.5,25.97402597402597
Cross-Timescale Attn,99,5.0,32.900432900432904
Cross-Timescale Attn,99,7.5,38.961038961038966
Cross-Timescale Attn,99,10.0,50.21645021645021
Cross-Timescale Attn,99,12.5,59.307359307359306
Cross-Timescale Attn,99,15.0,77.48917748917748
Cross-Timescale Attn,99,17.5,84.4155844155844
Cross-Timescale Attn,99,20.0,85.71428571428571
Cross-Timescale Attn,101,2.5,25.97402597402597
Cross-Timescale Attn,101,5.0,32.900432900432904
Cross-Timescale Attn,101,7.5,39.82683982683983
Cross-Timescale Attn,101,10.0,50.21645021645021
Cross-Timescale Attn,101,12.5,60.17316017316018
Cross-Timescale Attn,101,15.0,74.45887445887446
Cross-Timescale Attn,101,17.5,82.68398268398268
Cross-Timescale Attn,101,20.0,85.71428571428571
Cross-Timescale Attn,202,2.5,29.87012987012987
Cross-Timescale Attn,202,5.0,32.03463203463203
Cross-Timescale Attn,202,7.5,38.961038961038966
Cross-Timescale Attn,202,10.0,51.082251082251084
Cross-Timescale Attn,202,12.5,57.14285714285714
Cross-Timescale Attn,202,15.0,78.35497835497836
Cross-Timescale Attn,202,17.5,83.54978354978356
Cross-Timescale Attn,202,20.0,88.31168831168831
Cross-Timescale Attn,303,2.5,30.303030303030305
Cross-Timescale Attn,303,5.0,32.467532467532465
Cross-Timescale Attn,303,7.5,41.99134199134199
Cross-Timescale Attn,303,10.0,50.649350649350644
Cross-Timescale Attn,303,12.5,63.20346320346321
Cross-Timescale Attn,303,15.0,79.22077922077922
Cross-Timescale Attn,303,17.5,84.4155844155844
Cross-Timescale Attn,303,20.0,85.71428571428571
Cross-Timescale Attn,404,2.5,29.87012987012987
Cross-Timescale Attn,404,5.0,34.1991341991342
Cross-Timescale Attn,404,7.5,42.857142857142854
Cross-Timescale Attn,404,10.0,51.082251082251084
Cross-Timescale Attn,404,12.5,65.80086580086581
Cross-Timescale Attn,404,15.0,79.22077922077922
Cross-Timescale Attn,404,17.5,81.81818181818183
Cross-Timescale Attn,404,20.0,87.01298701298701
Cross-Timescale Attn,505,2.5,29.43722943722944
Cross-Timescale Attn,505,5.0,32.03463203463203
Cross-Timescale Attn,505,7.5,38.52813852813853
Cross-Timescale Attn,505,10.0,52.81385281385281
Cross-Timescale Attn,505,12.5,62.33766233766234
Cross-Timescale Attn,505,15.0,73.16017316017316
Cross-Timescale Attn,505,17.5,82.25108225108225
Cross-Timescale Attn,505,20.0,84.84848484848484
Cross-Timescale Attn,606,2.5,26.406926406926406
Cross-Timescale Attn,606,5.0,31.16883116883117
Cross-Timescale Attn,606,7.5,40.25974025974026
Cross-Timescale Attn,606,10.0,52.38095238095239
Cross-Timescale Attn,606,12.5,57.14285714285714
Cross-Timescale Attn,606,15.0,77.92207792207793
Cross-Timescale Attn,606,17.5,82.25108225108225
Cross-Timescale Attn,606,20.0,87.01298701298701
LogReg/Ridge,11,2.5,29.87012987012987
LogReg/Ridge,11,5.0,33.76623376623377
LogReg/Ridge,11,7.5,37.22943722943723
LogReg/Ridge,11,10.0,48.917748917748916
LogReg/Ridge,11,12.5,60.17316017316018
LogReg/Ridge,11,15.0,67.09956709956711
LogReg/Ridge,11,17.5,71.86147186147186
LogReg/Ridge,11,20.0,74.45887445887446
LogReg/Ridge,22,2.5,29.43722943722944
LogReg/Ridge,22,5.0,32.03463203463203
LogReg/Ridge,22,7.5,35.4978354978355
LogReg/Ridge,22,10.0,50.649350649350644
LogReg/Ridge,22,12.5,61.471861471861466
LogReg/Ridge,22,15.0,68.83116883116884
LogReg/Ridge,22,17.5,75.32467532467533
LogReg/Ridge,22,20.0,76.62337662337663
LogReg/Ridge,33,2.5,30.303030303030305
LogReg/Ridge,33,5.0,31.16883116883117
LogReg/Ridge,33,7.5,35.93073593073593
LogReg/Ridge,33,10.0,51.515151515151516
LogReg/Ridge,33,12.5,63.20346320346321
LogReg/Ridge,33,15.0,69.6969696969697
LogReg/Ridge,33,17.5,76.62337662337663
LogReg/Ridge,33,20.0,78.78787878787878
LogReg/Ridge,44,2.5,29.87012987012987
LogReg/Ridge,44,5.0,31.601731601731604
LogReg/Ridge,44,7.5,35.064935064935064
LogReg/Ridge,44,10.0,51.082251082251084
LogReg/Ridge,44,12.5,62.77056277056276
LogReg/Ridge,44,15.0,69.26406926406926
LogReg/Ridge,44,17.5,75.75757575757575
LogReg/Ridge,44,20.0,77.92207792207793
LogReg/Ridge,55,2.5,29.87012987012987
LogReg/Ridge,55,5.0,34.1991341991342
LogReg/Ridge,55,7.5,38.52813852813853
LogReg/Ridge,55,10.0,50.649350649350644
LogReg/Ridge,55,12.5,59.74025974025974
LogReg/Ridge,55,15.0,64.93506493506493
LogReg/Ridge,55,17.5,70.995670995671
LogReg/Ridge,55,20.0,74.02597402597402
LogReg/Ridge,66,2.5,29.87012987012987
LogReg/Ridge,66,5.0,31.601731601731604
LogReg/Ridge,66,7.5,34.63203463203463
LogReg/Ridge,66,10.0,51.515151515151516
LogReg/Ridge,66,12.5,64.93506493506493
LogReg/Ridge,66,15.0,70.12987012987013
LogReg/Ridge,66,17.5,76.19047619047619
LogReg/Ridge,66,20.0,78.78787878787878
LogReg/Ridge,77,2.5,29.43722943722944
LogReg/Ridge,77,5.0,32.467532467532465
LogReg/Ridge,77,7.5,35.93073593073593
LogReg/Ridge,77,10.0,49.78354978354979
LogReg/Ridge,77,12.5,61.038961038961034
LogReg/Ridge,77,15.0,67.09956709956711
LogReg/Ridge,77,17.5,73.16017316017316
LogReg/Ridge,77,20.0,75.32467532467533
LogReg/Ridge,88,2.5,29.87012987012987
LogReg/Ridge,88,5.0,33.76623376623377
LogReg/Ridge,88,7.5,35.93073593073593
LogReg/Ridge,88,10.0,49.78354978354979
LogReg/Ridge,88,12.5,61.038961038961034
LogReg/Ridge,88,15.0,68.3982683982684
LogReg/Ridge,88,17.5,72.72727272727273
LogReg/Ridge,88,20.0,77.05627705627705
LogReg/Ridge,99,2.5,29.004329004329005
LogReg/Ridge,99,5.0,31.601731601731604
LogReg/Ridge,99,7.5,36.36363636363637
LogReg/Ridge,99,10.0,51.515151515151516
LogReg/Ridge,99,12.5,61.471861471861466
LogReg/Ridge,99,15.0,70.995670995671
LogReg/Ridge,99,17.5,76.19047619047619
LogReg/Ridge,99,20.0,78.78787878787878
LogReg/Ridge,101,2.5,29.43722943722944
LogReg/Ridge,101,5.0,31.601731601731604
LogReg/Ridge,101,7.5,34.63203463203463
LogReg/Ridge,101,10.0,51.515151515151516
LogReg/Ridge,101,12.5,64.5021645021645
LogReg/Ridge,101,15.0,70.12987012987013
LogReg/Ridge,101,17.5,76.62337662337663
LogReg/Ridge,101,20.0,79.22077922077922
LogReg/Ridge,202,2.5,29.87012987012987
LogReg/Ridge,202,5.0,33.33333333333333
LogReg/Ridge,202,7.5,37.22943722943723
LogReg/Ridge,202,10.0,48.484848484848484
LogReg/Ridge,202,12.5,60.17316017316018
LogReg/Ridge,202,15.0,65.80086580086581
LogReg/Ridge,202,17.5,71.86147186147186
LogReg/Ridge,202,20.0,74.02597402597402
LogReg/Ridge,303,2.5,29.43722943722944
LogReg/Ridge,303,5.0,32.03463203463203
LogReg/Ridge,303,7.5,35.4978354978355
LogReg/Ridge,303,10.0,51.082251082251084
LogReg/Ridge,303,12.5,63.20346320346321
LogReg/Ridge,303,15.0,69.26406926406926
LogReg/Ridge,303,17.5,75.32467532467533
LogReg/Ridge,303,20.0,77.48917748917748
LogReg/Ridge,404,2.5,29.43722943722944
LogReg/Ridge,404,5.0,32.03463203463203
LogReg/Ridge,404,7.5,35.4978354978355
LogReg/Ridge,404,10.0,51.082251082251084
LogReg/Ridge,404,12.5,61.471861471861466
LogReg/Ridge,404,15.0,68.83116883116884
LogReg/Ridge,404,17.5,75.32467532467533
LogReg/Ridge,404,20.0,77.05627705627705
LogReg/Ridge,505,2.5,29.004329004329005
LogReg/Ridge,505,5.0,30.735930735930733
LogReg/Ridge,505,7.5,35.4978354978355
LogReg/Ridge,505,10.0,51.082251082251084
LogReg/Ridge,505,12.5,64.06926406926407
LogReg/Ridge,505,15.0,70.995670995671
LogReg/Ridge,505,17.5,76.19047619047619
LogReg/Ridge,505,20.0,80.51948051948052
LogReg/Ridge,606,2.5,30.303030303030305
LogReg/Ridge,606,5.0,31.601731601731604
LogReg/Ridge,606,7.5,35.4978354978355
LogReg/Ridge,606,10.0,51.515151515151516
LogReg/Ridge,606,12.5,62.33766233766234
LogReg/Ridge,606,15.0,70.995670995671
LogReg/Ridge,606,17.5,77.05627705627705
LogReg/Ridge,606,20.0,79.65367965367966
GradientBoosting,11,2.5,13.41991341991342
GradientBoosting,11,5.0,31.601731601731604
GradientBoosting,11,7.5,49.78354978354979
GradientBoosting,11,10.0,53.67965367965368
GradientBoosting,11,12.5,63.20346320346321
GradientBoosting,11,15.0,70.12987012987013
GradientBoosting,11,17.5,74.89177489177489
GradientBoosting,11,20.0,78.35497835497836
GradientBoosting,22,2.5,22.51082251082251
GradientBoosting,22,5.0,40.25974025974026
GradientBoosting,22,7.5,46.320346320346324
GradientBoosting,22,10.0,57.57575757575758
GradientBoosting,22,12.5,60.60606060606061
GradientBoosting,22,15.0,69.26406926406926
GradientBoosting,22,17.5,71.86147186147186
GradientBoosting,22,20.0,73.59307359307358
GradientBoosting,33,2.5,29.43722943722944
GradientBoosting,33,5.0,43.290043290043286
GradientBoosting,33,7.5,52.38095238095239
GradientBoosting,33,10.0,56.709956709956714
GradientBoosting,33,12.5,65.36796536796537
GradientBoosting,33,15.0,70.56277056277057
GradientBoosting,33,17.5,79.22077922077922
GradientBoosting,33,20.0,81.81818181818183
GradientBoosting,44,2.5,24.675324675324674
GradientBoosting,44,5.0,34.63203463203463
GradientBoosting,44,7.5,45.02164502164502
GradientBoosting,44,10.0,56.27705627705628
GradientBoosting,44,12.5,64.06926406926407
GradientBoosting,44,15.0,68.3982683982684
GradientBoosting,44,17.5,73.59307359307358
GradientBoosting,44,20.0,78.78787878787878
GradientBoosting,55,2.5,19.480519480519483
GradientBoosting,55,5.0,31.601731601731604
GradientBoosting,55,7.5,42.42424242424242
GradientBoosting,55,10.0,49.78354978354979
GradientBoosting,55,12.5,57.57575757575758
GradientBoosting,55,15.0,64.93506493506493
GradientBoosting,55,17.5,72.72727272727273
GradientBoosting,55,20.0,74.89177489177489
GradientBoosting,66,2.5,22.943722943722943
GradientBoosting,66,5.0,32.03463203463203
GradientBoosting,66,7.5,43.290043290043286
GradientBoosting,66,10.0,51.94805194805194
GradientBoosting,66,12.5,57.57575757575758
GradientBoosting,66,15.0,64.93506493506493
GradientBoosting,66,17.5,67.53246753246754
GradientBoosting,66,20.0,72.2943722943723
GradientBoosting,77,2.5,12.554112554112553
GradientBoosting,77,5.0,32.467532467532465
GradientBoosting,77,7.5,40.25974025974026
GradientBoosting,77,10.0,46.320346320346324
GradientBoosting,77,12.5,54.54545454545454
GradientBoosting,77,15.0,61.904761904761905
GradientBoosting,77,17.5,69.6969696969697
GradientBoosting,77,20.0,74.02597402597402
GradientBoosting,88,2.5,17.316017316017316
GradientBoosting,88,5.0,33.76623376623377
GradientBoosting,88,7.5,47.18614718614719
GradientBoosting,88,10.0,54.54545454545454
GradientBoosting,88,12.5,61.904761904761905
GradientBoosting,88,15.0,70.12987012987013
GradientBoosting,88,17.5,74.89177489177489
GradientBoosting,88,20.0,79.65367965367966
GradientBoosting,99,2.5,19.913419913419915
GradientBoosting,99,5.0,28.13852813852814
GradientBoosting,99,7.5,40.25974025974026
GradientBoosting,99,10.0,55.84415584415584
GradientBoosting,99,12.5,61.904761904761905
GradientBoosting,99,15.0,64.93506493506493
GradientBoosting,99,17.5,67.53246753246754
GradientBoosting,99,20.0,72.2943722943723
GradientBoosting,101,2.5,24.675324675324674
GradientBoosting,101,5.0,37.66233766233766
GradientBoosting,101,7.5,45.45454545454545
GradientBoosting,101,10.0,50.21645021645021
GradientBoosting,101,12.5,55.41125541125541
GradientBoosting,101,15.0,62.77056277056276
